Feature,Chi2,p-value,dof
HighBP,18537.573861222263,0.0,1
DiffWalk,12518.187461408459,0.0,1
HighChol,11217.003933240154,0.0,1
HeartDiseaseorAttack,7939.8904676648635,0.0,1
PhysActivity,3737.4488016052665,0.0,1
Stroke,2784.703926861594,0.0,1
CholCheck,1167.849165286961,5.924497378792127e-256,1
Smoker,999.4147640558788,2.4069946938547492e-219,1
Veggies,889.2184161960572,2.1658238017307503e-195,1
HvyAlcoholConsump,814.3739481993872,4.045204782238624e-179,1
Fruits,449.1227437702422,1.1195183574992248e-99,1
NoDocbcCost,366.4293018255489,1.1211296578041127e-81,1
Sex,222.18491291694596,3.018622637840042e-50,1
AnyHealthcare,50.10670567370444,1.456085516078702e-12,1
